Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Adela cuprella","Animals","Pollinator",1,1.0000,2
"Adscita statices","Animals","Pollinator",3,3.0000,4
"Alliopsis billbergi","Animals","Pollinator",1,1.0000,1
"Amauronematus sp1 M_PL_048","Animals","Pollinator",1,1.0000,1
"Anarta cordigera","Animals","Pollinator",2,2.0000,1
"Anarta myrtilli","Animals","Pollinator",1,1.0000,2
"Anaspis frontalis","Animals","Pollinator",1,1.0000,4
"Andrena clarkella","Animals","Pollinator",1,1.0000,2
"Andrena fucata","Animals","Pollinator",1,1.0000,1
"Andrena fulva","Animals","Pollinator",2,2.0000,2
"Andrena fuscipes","Animals","Pollinator",1,1.0000,2
"Andrena haemorrhoa","Animals","Pollinator",3,3.0000,3
"Andrena lapponica","Animals","Pollinator",3,3.0000,3
"Andrena praecox","Animals","Pollinator",2,2.0000,1
"Andrena sp1 M_PL_048","Animals","Pollinator",4,4.0000,1
"Andrena tarsata","Animals","Pollinator",2,2.0000,2
"Anoplius sp1 M_PL_048","Animals","Pollinator",1,1.0000,1
"Antherophagus nigrocornis","Animals","Pollinator",1,1.0000,1
"Aphanthopus hyperanthus","Animals","Pollinator",4,4.0000,1
"Apis mellifera","Animals","Pollinator",16,16.0000,108
"Aplotarsus incanus","Animals","Pollinator",1,1.0000,2
"Athous subfuscus","Animals","Pollinator",1,1.0000,2
"Autographa bractea","Animals","Pollinator",1,1.0000,2
"Barycnemis sp1 M_PL_048","Animals","Pollinator",1,1.0000,1
"Bellardia vulgaris","Animals","Pollinator",15,15.0000,2
"Bibio lanigerus","Animals","Pollinator",3,3.0000,2
"Bibio sp1 M_PL_048","Animals","Pollinator",1,1.0000,1
"Bombus bohemicus","Animals","Pollinator",10,10.0000,2
"Bombus hortorum","Animals","Pollinator",1,1.0000,7
"Bombus hypnorum","Animals","Pollinator",2,2.0000,2
"Bombus jonellus","Animals","Pollinator",6,6.0000,2
"Bombus lapidarius","Animals","Pollinator",7,7.0000,9
"Bombus lucorum","Animals","Pollinator",13,13.0000,7
"Bombus pascuorum","Animals","Pollinator",20,20.0000,10
"Bombus pratorum","Animals","Pollinator",4,4.0000,7
"Bombus sylvestris","Animals","Pollinator",3,3.0000,1
"Bombus terrestris","Animals","Pollinator",2,2.0000,11
"Botanophila fugax","Animals","Pollinator",2,2.0000,1
"Bruchidius villosus","Animals","Pollinator",2,2.0000,1
"Calameuta pallipes","Animals","Pollinator",3,3.0000,2
"Callophrys rubi","Animals","Pollinator",4,4.0000,4
"Cantharis figurata","Animals","Pollinator",1,1.0000,1
"Cantharis nigricans","Animals","Pollinator",1,1.0000,1
"Cerceris arenaria","Animals","Pollinator",1,1.0000,4
"Cheilosia albipila","Animals","Pollinator",2,2.0000,1
"Cheilosia bergenstammi","Animals","Pollinator",5,5.0000,2
"Cheilosia longula","Animals","Pollinator",1,1.0000,1
"Cheilosia pagana","Animals","Pollinator",1,1.0000,2
"Cheilosia psilophthalma","Animals","Pollinator",2,2.0000,1
"Chrysomela collaris","Animals","Pollinator",1,1.0000,2
"Chrysomela populi","Animals","Pollinator",1,1.0000,1
"Chrysotoxum bicinctum","Animals","Pollinator",4,4.0000,3
"Clossiana selene","Animals","Pollinator",3,3.0000,1
"Coenonympha pamphilus","Animals","Pollinator",7,7.0000,1
"Coenosia femoralis","Animals","Pollinator",1,1.0000,2
"Coenosia means","Animals","Pollinator",4,4.0000,2
"Coenosia tigrina","Animals","Pollinator",1,1.0000,2
"Colletes cunicularius","Animals","Pollinator",1,1.0000,2
"Colletes succinctus","Animals","Pollinator",1,1.0000,2
"Conops flavipes","Animals","Pollinator",2,2.0000,3
"Crambus lathoniellus","Animals","Pollinator",1,1.0000,1
"Cylindromyia brassicaria","Animals","Pollinator",1,1.0000,2
"Cynomya mortuorum","Animals","Pollinator",1,1.0000,2
"Dalopius marginatus","Animals","Pollinator",1,1.0000,1
"Dasytes plumbeus ","Animals","Pollinator",1,1.0000,4
"Delia diluta","Animals","Pollinator",1,1.0000,1
"Delia florilega","Animals","Pollinator",2,2.0000,1
"Dilophus febrilis","Animals","Pollinator",2,2.0000,2
"Dolichovespula saxonica","Animals","Pollinator",3,3.0000,2
"Dolichovespula sp1 M_PL_048","Animals","Pollinator",2,2.0000,1
"Dolichovespula sylvestris","Animals","Pollinator",2,2.0000,1
"Ectobius silvestris","Animals","Pollinator",1,1.0000,1
"Empis aestiva","Animals","Pollinator",3,3.0000,2
"Empis caudatula","Animals","Pollinator",1,1.0000,1
"Empis chioptera","Animals","Pollinator",1,1.0000,1
"Empis nuntia","Animals","Pollinator",1,1.0000,2
"Empis sp1 M_PL_048","Animals","Pollinator",5,5.0000,1
"Empis tessellata","Animals","Pollinator",3,3.0000,2
"Epirrhoetristata sp1 M_PL_048","Animals","Pollinator",1,1.0000,1
"Episyrphus balteatus","Animals","Pollinator",13,13.0000,17
"Eriothrix rufomaculatus","Animals","Pollinator",5,5.0000,3
"Eristalinus sepulchralis","Animals","Pollinator",2,2.0000,4
"Eristalis abusiva","Animals","Pollinator",1,1.0000,1
"Eristalis intricaria","Animals","Pollinator",1,1.0000,3
"Eristalis lineata","Animals","Pollinator",6,6.0000,2
"Eristalis pertinax","Animals","Pollinator",1,1.0000,5
"Eristalis sp1 M_PL_048","Animals","Pollinator",1,1.0000,1
"Eristalis tenax","Animals","Pollinator",5,5.0000,20
"Ernestia rudis","Animals","Pollinator",1,1.0000,2
"Eumenes pedunculatus","Animals","Pollinator",1,1.0000,1
"Eupeodes corollae ","Animals","Pollinator",1,1.0000,3
"Formica exsecta","Animals","Pollinator",1,1.0000,1
"Formica fusca","Animals","Pollinator",13,13.0000,3
