Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Aclonempis longipes","Animals","Pollinator",2,2.0000,1
"Alliopsis sp1 M_PL_049","Animals","Pollinator",1,1.0000,1
"Alliopsis sp2 M_PL_049","Animals","Pollinator",1,1.0000,1
"Alliopsis sp3 M_PL_049","Animals","Pollinator",1,1.0000,1
"Alloestylus sudeticus","Animals","Pollinator",2,2.0000,1
"Anaspis frontalis","Animals","Pollinator",2,2.0000,4
"Anaspis rufilabris ","Animals","Pollinator",1,1.0000,3
"Anthobium minutum","Animals","Pollinator",3,3.0000,1
"Anthobium ophthalmicum","Animals","Pollinator",1,1.0000,1
"Anthobium torquratum","Animals","Pollinator",1,1.0000,1
"Aphantopus hyperantus","Animals","Pollinator",18,18.0000,3
"Apion apricans","Animals","Pollinator",1,1.0000,1
"Apion flavipes","Animals","Pollinator",1,1.0000,3
"Apis mellifera","Animals","Pollinator",5,5.0000,108
"Apocrita sp1 M_PL_049","Animals","Pollinator",2,2.0000,1
"Athalia lineolata","Animals","Pollinator",3,3.0000,1
"Athalia sp1 M_PL_049","Animals","Pollinator",2,2.0000,1
"Azelia triquetra","Animals","Pollinator",1,1.0000,1
"Bombus agrorum","Animals","Pollinator",11,11.0000,1
"Bombus hortorum","Animals","Pollinator",2,2.0000,7
"Bombus hypnorum","Animals","Pollinator",2,2.0000,2
"Bombus lucorum","Animals","Pollinator",9,9.0000,7
"Bombus pratorum","Animals","Pollinator",7,7.0000,7
"Bombus terestis","Animals","Pollinator",7,7.0000,1
"Bombylius major","Animals","Pollinator",1,1.0000,8
"Brachicoma devia","Animals","Pollinator",3,3.0000,1
"Calameuta filiformis","Animals","Pollinator",1,1.0000,1
"Calocoris norvegicus","Animals","Pollinator",3,3.0000,1
"Calocoris sexguttatus","Animals","Pollinator",2,2.0000,1
"Cateretes pedicularius","Animals","Pollinator",10,10.0000,1
"Cetonia aurata","Animals","Pollinator",1,1.0000,2
"Cheilosia nigripes","Animals","Pollinator",1,1.0000,1
