Specie,Kingdom,Role,Degree,Sum(connections strength),Networks presence
"Adscita statices","Animals","Pollinator",6,6.0000,4
"Apion aeneum","Animals","Pollinator",1,1.0000,2
"Apion flavipes","Animals","Pollinator",1,1.0000,3
"Apion hookeri ","Animals","Pollinator",3,3.0000,2
"Apion meliloti ","Animals","Pollinator",1,1.0000,2
"Apion rufirostre ","Animals","Pollinator",2,2.0000,2
"Apocrita sp1 M_PL_043","Animals","Pollinator",13,13.0000,1
"Bombus hortorum","Animals","Pollinator",7,7.0000,7
"Bombus lapidarius","Animals","Pollinator",4,4.0000,9
"Bombus lucorum","Animals","Pollinator",1,1.0000,7
"Bombus pascuorum","Animals","Pollinator",10,10.0000,10
"Bombus pratorum","Animals","Pollinator",3,3.0000,7
"Bombus ruderatus","Animals","Pollinator",1,1.0000,4
"Bombus soroeensis","Animals","Pollinator",2,2.0000,2
"Bombus terrestris","Animals","Pollinator",3,3.0000,11
"Byturus aestivus","Animals","Pollinator",1,1.0000,3
"Ceuthorrhynchus assimilis ","Animals","Pollinator",3,3.0000,3
"Ceutorrhynchus rugulosus ","Animals","Pollinator",1,1.0000,2
"Cheilosia albitarsis","Animals","Pollinator",1,1.0000,4
"Cheilosia impressa ","Animals","Pollinator",1,1.0000,2
"Cheilosia velutina ","Animals","Pollinator",1,1.0000,2
"Chrysogaster cemiteriorum","Animals","Pollinator",1,1.0000,2
"Clytus arietis","Animals","Pollinator",2,2.0000,2
"Coccinella septempunctata","Animals","Pollinator",4,4.0000,2
"Corticarina gibbosa ","Animals","Pollinator",1,1.0000,2
"Crambus pratella","Animals","Pollinator",6,6.0000,3
"Diptera sp1 M_PL_043","Animals","Pollinator",1,1.0000,1
"Enicmus transversus","Animals","Pollinator",1,1.0000,2
"Eoseristalis abusivus","Animals","Pollinator",5,5.0000,2
"Eoseristalis arbustorum","Animals","Pollinator",1,1.0000,2
"Episyrphus balteatus","Animals","Pollinator",6,6.0000,17
"Epuraea depressa ","Animals","Pollinator",1,1.0000,1
"Eristalinus sepulchralis","Animals","Pollinator",1,1.0000,4
"Eumerus tuberculatus ","Animals","Pollinator",4,4.0000,4
"Leptura rubra","Animals","Pollinator",5,5.0000,4
"Malachius viridis","Animals","Pollinator",1,1.0000,2
"Maniola jurtina","Animals","Pollinator",6,6.0000,10
"Melanostoma scalare","Animals","Pollinator",1,1.0000,12
"Meligethes sp1 M_PL_043","Animals","Pollinator",18,18.0000,1
"Meliscaeva cinctella","Animals","Pollinator",4,4.0000,6
"Miarus campanulae ","Animals","Pollinator",1,1.0000,2
"Miccotrogus picirostris ","Animals","Pollinator",1,1.0000,2
"Nemophora degeerella","Animals","Pollinator",2,2.0000,4
